Lemma	POS	Stem	Paradigm	Gloss_RU	Gloss_EN	Delete
loŋxal'	ADV	loŋxal'.	ADV	вниз.по.реке	downstream	
lōŋxal'	ADV	lōŋxal'.	ADV	вниз.по.течению	downstream	
l'aɣ	V	l'aɣ.	V_odd	злословить	slander	
l'eŋkt	V	l'eŋkt.	V_odd	задеть	touch	
maɣl	N	maɣl.	N_odd	грудь	chest	
maɣsəl	POSTP	maɣsəl.|maɣsl.	unchangeable	для.INS		
maɣəl	N	maɣəl.|maɣl.	N_even	грудь	chest	
manaren	PRON	manaren.	unchangeable	что.EMPH		
manarən	PRON	manarən.	unchangeable	что.EMPH		
manaw	PRON	manaw.	unchangeable	1PL.OBL		
mānaw	PRON	mānaw.	unchangeable	1PL.OBL		
mark	N	mark.	N_odd	локоть	elbow	
maxma	N	maxma.	N_even	земля.мужчина	earth.man	
maŋkew	PRON	maŋkew.	unchangeable	1PL.EMPH		
maŋki	PRON	maŋki.	unchangeable	1PL.EMPH		
menmen	PRON	menmen.	unchangeable	1DU.OBL		
misne	N	misne.	N_even	Миснэ	Misne	
mol'amt	V	mol'amt.	V_even	торопить	hurry	
mol'aɕl	V	mol'aɕl.	V_even	торопить	hurry	
morax	N	morax.	N_even	морошка	cloudberry	
mors	ADV	mors.	ADV	редко	rarely	
mos	ADJ	mos.	ADJ_odd	малый	small	
najən	ADJ	najən.|najn.	ADJ_even	знатный	noble	
nāl	N	nāl.	N_odd	стрела	arrow	
nalw	ADV	nalw.	ADV	к.реке	to.the.river	
nalw	ADV	nalw.	ADV	на.берег	ashore	
nalw	ADV	nalw.	ADV	от.суши	from.the.shore	
nānan	PRON	nānan.	unchangeable	2PL.OBL		
nanən	PRON	nanən.|nann.	unchangeable	2PL.OBL		
nārapt	V	nārapt.	V_even	забаррикадировать	barricade	
nata	V	nata.	V_even	нести.течением	be.carried.by.current	
naxw	V	naxw.	V_odd	клевать	peck	
naŋen	PRON	naŋen.	unchangeable	2SG.OBL		
naŋki	PRON	naŋki.	unchangeable	2SG.EMPH		
nē	PRON	nē.	unchangeable	PRON.NEG		
nenan	PRON	nenan.	unchangeable	2DU.OBL		
nenan	PRON	nenan.	unchangeable	3DU.OBL		
nēnan	PRON	nēnan.	unchangeable	2DU.OBL		
neŋki	PRON	neŋki.	unchangeable	2DU.EMPH		
neŋki	PRON	neŋki.	unchangeable	2SG.ENPH		
nirasa	V	nirasa.	V_odd	вытянуть	pull.out	
nolen	ADV	nolen.	ADV	по.течению	downstream	
non	N	non.	N_odd	женский.половой.орган	vagina	
nopəl	POSTP	nopəl.|nopl.	unchangeable	по.направлению.к	toward	
nowt	V	nowt.	V_odd	скрести.кожу	scratch.skin	
nōx	ADV	nōx.	ADV	вверх	up	
n'ak	V	n'ak.	V_odd	мять.траву	trample.grass	
n'ārɣ	N	n'ārɣ.	N_odd	мочка	earlobe	
n'āriɣ	N	n'āriɣ.	N_even	мочка	earlobe	
n'as	ADJ	n'as.	ADJ_odd	тупой	dull	
n'awlak	ADJ	n'awlak.	ADJ_even	мягкий	soft	
n'il'	V	n'il'.	V_odd	размывать	wash.away	
n'iras	V	n'iras.	V_even	встряхнуть	shake	
n'iras	V	n'iras.	V_even	вырывать	pull.out	
n'irs	V	n'irs.	V_odd	вырывать	pull.out	
n'olant	V	n'olant.	V_even	облизываться	lick.one's.lips	
n'ot	V	n'ot.	V_odd	плыть.по.поверхности	swim.on.the.surface	
n'ot	V	n'ot.	V_odd	помогать	help	
ōjiɣp	V	ōjiɣp.	V_even	закончиться	end	
ojt	N	ojt.	N_odd	луг	meadow	
ojt	V	ojt.	V_odd	платить	pay	
olməɣt	V	olməɣt.|olmɣt.	V_even	зажить	heal	
ōlt	V	ōlt.	V_odd	соединять	connect	
onip	N	onip.	N_even	тёща	mother.in.law	
on'ɣ	N	on'ɣ.	N_odd	сестра.старшего.брата	elder.brother's.sister	
ōn'ɣa	N	ōn'ɣa.	N_even	Невестка		
opet	V	opet.	V_even	обижать	offend	
ossi	N	ossi.	N_even	мягкая.стружка	soft.shavings	
ōtr	N	ōtr.	N_odd	хозяин	host	
owlax	N	owlax.	N_even	савка	white.headed.duck	
owta	N	owta.	N_even	копьё	spear	
oxst	V	oxst.	V_odd	пилить	saw	
oŋɣa	N	oŋɣa.	N_even	жена.старшего.брата	older.brother's.wife	
oɕa	ADJ	oɕa.	ADJ_even	узкий	narrow	
paɣ	ADV	paɣ.	ADV	к.суше	to.the.land	
pāɣ	ADV	pāɣ.	ADV	от.стихии	from.the.elements	
pakwtepine	N	pakwtepine.	N_even	кедровка	northern.nutcracker	
pāliɣ	ADV	pāliɣ.	ADV	вдребезги	to.pieces	
palm	N	palm.	N_odd	овод	horsefly	
par	V	par.	V_odd	закончиться	end	
par	V	par.	V_odd	подгонять	chase	
parkan	N	parkan.	N_even	хлопок	cotton	
parm	V	parm.	V_odd	брызгать	splash	
passa	N	passa.	N_even	рукавица	mittens	
pasəɣlap	N	pasəɣlap.	N_odd	сверло	drill.bit	
patit	N	patit.	N_even	конец	end	
patit	N	patit.	N_even	начало	beginning	
paŋxwit	N	paŋxwit.	N_even	толщина	thickness	
paɕir	V	paɕir.	V_even	щипать	pinch	
peat	V	peat.	V_even	опустить.в.котёл	put.into.the.cauldron	
pēāt	V	pēāt.	V_even	опустить.в.котёл	put.into.the.cauldron	
per	V	per.	V_odd	свить	spin	
perm	V	perm.	V_odd	обвернуть	wrap	
pēs	N	pēs.	N_odd	бедро	thigh	
pēt	V	pēt.	V_odd	прибежать	run.up	
pet'ka	N	pet'ka.	N_even	петька	Petka	
pirit	V	pirit.	V_even	подстрекать	incite	
pist	V	pist.	V_odd	скручивать	twist	
piɕ	N	piɕ.	N_odd	выдумка	fabrication	
piɕ	N	piɕ.	N_odd	выдумка/нрав		
piɕ	N	piɕ.	N_odd	способ	way	
piɕɣ	V	piɕɣ.	V_odd	пищать	squeak	
pojikɕ	V	pojikɕ.	V_even	умолять	beg	
pojiltt	V	pojiltt.	V_even	остановить	stop	
pojəlt	V	pojəlt.|pojlt.	V_even	утешить	comfort	
pokap	V	pokap.	V_even	лопнуть	burst	
polnari	ADJ	polnari.	ADJ_odd	южный	southern	
pol'	N	pol'.	N_odd	кусок	piece	
pol'iɣ	ADV	pol'iɣ.	ADV	вдребезги	to.pieces	
ponne	N	ponne.	N_even	сеть	net	
portaŋ	N	portaŋ.	N_even	поломанные.ветки	broken.branches	
portəŋ	ADJ	portəŋ.|portŋ.	ADJ_even	питательный	nutritious	
porxaj	N	porxaj.	N_even	вьюга	blizzard	
post	V	post.	V_odd	светить	shine	
potali	POSTP	potali.	unchangeable	ком	lump	
potəl'ma	N	potəl'ma.	N_odd	нудность	boredom	
poxlap	N	poxlap.	N_even	пуговица	button	
poɕ	N	poɕ.	N_odd	говно	shit	
poɕ	V	poɕ.	V_odd	срать	shit	
pūxt	V	pūxt.	V_odd	взяться	appear	
pəl	X	pəl.	unchangeable	COLL.DU		
raɣp	V	raɣp.	V_odd	провалиться	fail	
raw	N	raw.	N_odd	клочок	scrap	
rawt	V	rawt.	V_odd	ворошить	stir	
rawt	V	rawt.	V_odd	плескать	splash	
retəŋ	ADJ	retəŋ.|retŋ.	ADJ_even	ленивый	lazy	
ro	N	ro.	N_odd	русский.богатырь	Russian.hero	
ros	V	ros.	V_odd	ударить	hit	
roɕ	N	roɕ.	N_odd	отмель	shallow	
saɣla	N	saɣla.	N_even	дощечка	plank	
saiɣ	N	saiɣ.	N_even	коса	braid_scythe	
sajkal	V	sajkal.	V_even	проснуться	wake.up	
sajkat	V	sajkat.	V_even	будить	wake	
sak	V	sak.	V_odd	портиться	spoil	
sakar	N	sakar.	N_even	сахар	sugar	
sakwal	V	sakwal.	V_even	ломаться	break.down	
sal'	X	sal'.	unchangeable	жаль	pity	
sal'	N	sal'.	N_odd	утка.гоголь	duck.drake	
sal'	V	sal'.	V_odd	плевать	spit	
sām	N	sām.	N_odd	край	edge	
sām	N	sām.	N_odd	страна	country	
sama	N	sama.	N_even	болото	swamp	
sama	N	sama.	N_even	глаза	eyes	
san'ka	N	san'ka.	N_even	фаршированная.лепёшка	stuffed.flatbread	
sap	N	sap.	N_odd	гниль	rot	
sarak	N	sarak.	N_even	сирок		
saran	N	saran.	N_even	коми	Komi	
sawat	V	sawat.	V_even	мучить	torment	
sawit	N	sawit.	N_even	количество	quantity	
sawəŋ	ADJ	sawəŋ.|sawŋ.	ADJ_even	ленивый	lazy	
saŋk	ADJ	saŋk.	ADJ_odd	очень.жаркий	very.hot	
saŋkaml	V	saŋkaml.	V_even	прийти.в.чувство	come.to.senses	
saŋkwəli	N	saŋkwəli.	N_odd	струнный.инструмент	stringed.instrument	
sāŋkwəlt	V	sāŋkwəlt.|sāŋkwlt.	V_even	играть.на.санквылтапе	play.lyre	
sāŋkwəltap	N	sāŋkwəltap.	N_odd	санквылтап	lyre	
saŋxw	V	saŋxw.	V_odd	пинать	kick	
sāŋxwas	V	sāŋxwas.	V_even	пнуть	kick	
seɣ	V	seɣ.	V_odd	вытирать	wipe	
sekw	N	sekw.	N_odd	прохлада	coolness	
senəɣ	N	senəɣ.|senɣ.	N_even	нарост.на.берёзе	growth.on.a.birch	
seripos	N	seripos.	N_odd	заря	dawn	
siɣ	N	siɣ.	N_odd	налим	burbot	
sil	V	sil.	V_odd	вспороть	slash	
silt	V	silt.	V_odd	разорвать	tear	
simri	N	simri.	N_even	окунь	perch	
siməŋ	ADJ	siməŋ.|simŋ.	ADJ_even	усердный	diligent	
siniɣt	V	siniɣt.	V_even	обнять	hug	
siŋs	N	siŋs.	N_odd	края.кровати	bed.edges	
solt	V	solt.	V_odd	гореть	burn	
sopas	N	sopas.	N_even	запас	stock	
sopla	N	sopla.	N_even	столб	pole	
sorɣ	N	sorɣ.	N_odd	живот	belly	
sormən	ADJ	sormən.|sormn.	ADJ_even	мёртвый	dead	
sorəɣ	N	sorəɣ.|sorɣ.	N_even	живот	belly	
soxrip	N	soxrip.	N_even	сени	porch	
səp	N	səp.	N_odd	карман	pocket	
səpl	N	səpl.	N_odd	шея	neck	
səpəɣ	V	səpəɣ.|səpɣ.	V_even	чмокать	smack	
tāɣmat	V	tāɣmat.	V_even	подвесить	suspend	
tak	ADJ	tak.	ADJ_odd	сильный	strong	
takket	PRON	takket.	unchangeable	3SG.EMPH		
takket	PRON	takket.	unchangeable	3SG.OBL.EMPH		
takkete	PRON	takkete.	unchangeable	он.один	he.alone	
takl	N	takl.	N_odd	завиток	curl	
takwē	PRON	takwē.	unchangeable	3SG.EMPH		
tāl	V	tāl.	V_odd	погрузиться	plunge	
tananəl	PRON	tananəl.	unchangeable	3PL.OBL		
tarelka	N	tarelka.	N_odd	тарелка	plate	
tarɣ	V	tarɣ.	V_odd	дребезжать	rattle	
tars	N	tars.	N_odd	волокно	fiber	
taŋki	PRON	taŋki.	unchangeable	3PL.EMPH		
taŋkər	N	taŋkər.|taŋkr.	N_even	крот	mole	
tela	N	tela.	N_even	дело	business	
tēnki	PRON	tēnki.	unchangeable	2DU.EMPH		
terəŋ	N	terəŋ.|terŋ.	N_even	несчастье	misfortune	
tēs	X	tēs.	unchangeable	нет	no	
tēxam	N	tēxam.	N_even	дружище	buddy	
tiɣl	V	tiɣl.	V_odd	лететь	fly	
tiɣl'e	ADV	tiɣl'e.	ADV	сюда	here	
tip	V	tip.	V_odd	заблудиться	get.lost	
tirsm	V	tirsm.	V_odd	брызгать	splash	
tist	V	tist.	V_odd	скорбеть	mourn	
tol'	N	tol'.	N_odd	оленья.зимняя.шкура	deer.winter.skin	
tontl	V	tontl.	V_odd	гостить	stay.as.guest	
torɣamt	V	torɣamt.	V_even	понимать	understand	
torɣēn	ADV	torɣēn.	ADV	сильно	strongly	
torəlt	V	torəlt.|torlt.	V_even	выронить	drop	
towar	N	towar.	N_even	товар	goods	
tōwl	V	tōwl.	V_odd	быть.достаточным	suffice	
tōwl	V	tōwl.	V_odd	хватать	grab	
toxaləŋ	ADV	toxaləŋ.	ADV	так	so	
toŋx	N	toŋx.	N_odd	копыто	hoof	
ūp	N	ūp.	N_odd	Шурин		
ūr	N	ūr.	N_odd	сопка	hill	
ūrmiɣt	V	ūrmiɣt.	V_even	держать	hold	
ūt	V	ūt.	V_odd	лаять.на.зверя	bark.at.an.animal	
wā	V	wā.	V_odd	знать	know	
waɣl	V	waɣl.	V_odd	спускаться	descend	
wantaxt	V	wantaxt.	V_even	идти.группой	go.in.a.group	
wantla	V	wantla.	V_even	переезжать	move	
wapi	N	wapi.	N_even	птичья.ямка	bird's.nest	
wartəŋ	ADJ	wartəŋ.|wartŋ.	ADJ_even	кремлеватый		
wax	N	wax.	N_odd	крик	cry	
waɕin	V	waɕin.	V_even	видывать	experience	
wek	V	wek.	V_odd	может.быть	maybe	
wek	ADV	wek.	ADV	наверно	probably	
wēk	ADV	wēk.	ADV	возможно	possible	
wen'ɕ	V	wen'ɕ.	V_odd	венчать	crown	
weri	V	weri.	V_even	терпеть	endure	
wersta	N	wersta.	N_even	верста	verst	
wiɣ	V	wiɣ.	V_odd	брать.NPST.3SG		
wil'tjat	N	wil'tjat.	N_even	лоб	forehead	
winowat	ADJ	winowat.	ADJ_odd	виноватый	guilty	
wolkat	V	wolkat.	V_even	соскользнуть	slip	
wol'ext	V	wol'ext.	V_even	скрипуче.кричать	creak.scream	
wol'k	V	wol'k.	V_odd	скользить	slide	
wōnxa	N	wōnxa.	N_even	дыра	hole	
wonɕal	X	wonɕal.	unchangeable	ничего.нет	there.is.nothing	
worɕik	N	worɕik.	N_even	трясогузка	wagtail	
wōt	V	wōt.	V_odd	дуть	blow	
wotas	N	wotas.	N_even	метель	blizzard	
wōŋxa	N	wōŋxa.	N_even	дыра	hole	
xanl	V	xanl.	V_odd	наклеить	stick	
xansaŋ	ADJ	xansaŋ.	ADJ_even	пёстрый	variegated	
xan'iɕ	V	xan'iɕ.	V_even	отгадать	guess	
xan'ɕ	V	xan'ɕ.	V_odd	отгадать	guess	
xan'ɕ	V	xan'ɕ.	V_odd	чувствовать	feel	
xan'ɕt	V	xan'ɕt.	V_odd	учить	teach	
xāpka	N	xāpka.	N_even	осина	aspen	
xār	N	xār.	N_odd	бык.олень	male.deer	
xaril	V	xaril.	V_even	заниматься.заре	dawn	
xarɕ	V	xarɕ.	V_odd	трещать	crackle	
xasil	N	xasil.	N_even	верёвка.которой.привязывается.груз.на.нарте	sledge.load.rope	
xass	V	xass.	V_odd	узнать	find.out	
xata	X	xata.	unchangeable	ну.ка	come.on	
xāx	V	xāx.	V_odd	лезть	climb	
xaŋla	N	xaŋla.	N_even	порог	threshold	
xej	X	xej.	unchangeable	хей	hey	
xōl	N	xōl.	N_odd	утро	morning	
xola	V	xola.	V_even	кончиться	end	
xōməl	N	xōməl.|xōml.	N_even	чудак	eccentric	
xōn	N	xōn.	N_odd	Царь		
xopi	N	xopi.	N_even	наружний.выступ.кисти	outer.protrusion	
xopl	V	xopl.	V_odd	стучать	knock	
xopt	N	xopt.	N_odd	бык	bull	
xor	N	xor.	N_odd	порезанная.сушёная.рыба	cut.dried.fish	
xoram	N	xoram.	N_even	украшение	decoration	
xoraxɕi	N	xoraxɕi.	N_odd	разбойник	bandit	
xori	N	xori.	N_even	низина	lowland	
xosɣ	V	xosɣ.	V_odd	махать	wave	
xosiɣ	V	xosiɣ.	V_even	махать	wave	
xosx	V	xosx.	V_odd	махать	wave	
xotal'	PRON	xotal'.	unchangeable	куда	where	
xott	PRON	xott.	unchangeable	где.то	somewhere	
xottal'	PRON	xottal'.	unchangeable	куда.нибудь	somewhere	
us	N	us.	N_even	шаг	step	
ɕaɣr	ADJ	ɕaɣr.	ADJ_odd	жадный	greedy	
ɕakar	N	ɕakar.	N_even	сахар	sugar	
ɕakɕ	V	ɕakɕ.	V_odd	столярничать	do.carpentry	
ɕakər	ADJ	ɕakər.|ɕakr.	ADJ_even	жадный	greedy	
ɕampəl	N	ɕampəl.|ɕampl.	N_even	кручение.туда.сюда	twisting	
ɕarɣ	V	ɕarɣ.	V_odd	гореть.про.рану	burn.wound	
ɕarɣ	V	ɕarɣ.	V_odd	жечь	burn	
ɕārɣ	V	ɕārɣ.	V_odd	жечь	burn	
ɕark	N	ɕark.	N_odd	пастбище	pasture	
ɕark	V	ɕark.	V_odd	пастись	graze	
ɕarək	N	ɕarək.|ɕark.	N_even	выгон	pasture	
ɕaska	N	ɕaska.	N_even	часы	watch	
ɕaxni	N	ɕaxni.	N_even	кулак	fist	
ɕaŋk	N	ɕaŋk.	N_odd	выпуклость	bulge	
ɕelt	V	ɕelt.	V_odd	бросить	throw	
ɕilext	V	ɕilext.	V_even	скрипуче.кричать	creak.scream	
ɕoli	ADJ	ɕoli.	ADJ_even	седой	gray	
ɕolə	N	ɕolə.	N_even	средство	means	
ɕom	N	ɕom.	N_odd	сила	strength	
ɕomtal	ADJ	ɕomtal.	ADJ_even	слабый	weak	
ɕopr	N	ɕopr.	N_odd	глухарка	female.wood.grouse	
ɕorxəlt	V	ɕorxəlt.|ɕorxlt.	V_even	сделать.зарубку	make.a.notch	
ɕōwal	N	ɕōwal.	N_even	чувал	hearth?	
